Table,Column (logical),Physical Column (Dataverse),Type,Required,Choice Set / Default,Lookup Target,Description
Vendor,service_radius_miles,gbx_service_radius,Whole number,Y,25 default,,Max distance from base they will travel
Vendor,services_offered,gbx_services,Choice (multi),Y,(varies by vendor_type),,e.g. Auto-Body|Glass-Replace|Tow-Standard
Vendor,is_active_in_drp,gbx_in_drp,Yes/No,Y,,,Part of carrier's preferred network
Vendor,customer_rating,gbx_customer_rating,Decimal (0-5),N,,,Average customer rating
Vendor,drp_performance_score,gbx_drp_score,Decimal (0-100),N,,,Carrier-internal: turnaround time + CSAT composite
Vendor,current_capacity,gbx_capacity,Whole number,N,,,Available capacity slots
Vendor,phone,gbx_vendor_phone,Phone,Y,,,
Vendor,email,gbx_vendor_email,Email,N,,,
Vendor,states_served,gbx_states,Choice (multi),Y,US 50 states + DC,,
ClaimVendorAssignment,id,gbx_cva_id,Auto-number,Y,CVA-{SEQNUM:6},,Primary key
ClaimVendorAssignment,claim_id,gbx_claim,Lookup,Y,,Claim.id,
ClaimVendorAssignment,vendor_id,gbx_vendor,Lookup,Y,,Vendor.id,
ClaimVendorAssignment,assignment_purpose,gbx_purpose,Choice,Y,Repair|Tow|Glass|Rental|Salvage|Inspect|Medical,,Why this vendor for this claim
ClaimVendorAssignment,distance_miles,gbx_distance,Decimal,N,,,Computed at assignment time
ClaimVendorAssignment,score,gbx_score,Decimal (0-100),N,,,Routing score - logged for audit
ClaimVendorAssignment,assignment_reason,gbx_reason,Multiline,N,,,Plain-English why this vendor
ClaimVendorAssignment,assigned_at,gbx_assigned_at,DateTime,Y,,,
ClaimVendorAssignment,sla_due_at,gbx_sla_due_at,DateTime,N,,,
ClaimVendorAssignment,status,gbx_cva_status,Choice,Y,Notified|Accepted|InProgress|Completed|Cancelled|Declined,,
ClaimVendorAssignment,completion_notes,gbx_completion_notes,Multiline,N,,,Vendor's update on completion
